作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
誤答,2019-04-06 15:03:37,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,17,osamu0522s,8,,,0,10,2.42,
正答,2019-04-06 15:03:48,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,17,osamu0522s,-6,,,0,10,2.42,
正答,2019-04-06 15:04:00,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,dq27-37,17,osamu0522s,1,,,0,10,2.42,
合格,2019-04-06 15:09:38,tomoko04781,16,神奈川県,横浜市旭区,dq27,,,,,mariko06981k,89,16.41,1.64,0,10,20.47,
回答開始,2019-04-08 08:26:56,mina09551k,34,鳥取県,境港市,dq25,,,dq25-22,1,michiko06841s,,,,0,10,18.27,
回答開始,2019-04-08 08:27:04,mina09551k,34,鳥取県,境港市,dq25,,,dq25-25,2,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:27:04,mina09551k,34,鳥取県,境港市,dq25,,,dq25-22,1,michiko06841s,5,,,0,10,18.27,
回答開始,2019-04-08 08:27:29,mina09551k,34,鳥取県,境港市,dq25,,,dq25-14,3,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:27:29,mina09551k,34,鳥取県,境港市,dq25,,,dq25-25,2,michiko06841s,21,,,0,10,18.27,
回答開始,2019-04-08 08:27:54,mina09551k,34,鳥取県,境港市,dq25,,,dq25-18,4,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:27:54,mina09551k,34,鳥取県,境港市,dq25,,,dq25-14,3,michiko06841s,41,,,0,10,18.27,
回答開始,2019-04-08 08:28:14,mina09551k,34,鳥取県,境港市,dq25,,,dq25-20,5,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:28:14,mina09551k,34,鳥取県,境港市,dq25,,,dq25-18,4,michiko06841s,16,,,0,10,18.27,
回答開始,2019-04-08 08:28:33,mina09551k,34,鳥取県,境港市,dq25,,,dq25-1,6,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:28:33,mina09551k,34,鳥取県,境港市,dq25,,,dq25-20,5,michiko06841s,15,,,0,10,18.27,
回答開始,2019-04-08 08:28:58,mina09551k,34,鳥取県,境港市,dq25,,,dq25-1,7,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:28:58,mina09551k,34,鳥取県,境港市,dq25,,,dq25-1,6,michiko06841s,22,,,0,10,18.27,
回答開始,2019-04-08 08:29:14,mina09551k,34,鳥取県,境港市,dq25,,,dq25-1,7,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:29:14,mina09551k,34,鳥取県,境港市,dq25,,,dq25-1,6,michiko06841s,-17,,,0,10,18.27,
誤答,2019-04-08 08:29:56,mina09551k,34,鳥取県,境港市,dq25,,,dq25-9,8,Rumi08201k,6,,,0,10,18.27,
不合格1度目,2019-04-08 08:29:56,mina09551k,34,鳥取県,境港市,dq25,,,,,Rumi08201k,107,0,0,0,10,18.27,
回答開始,2019-04-08 08:30:20,mina09551k,34,鳥取県,境港市,dq25,,,dq25-23,1,michiko06841s,,,,0,10,18.27,
回答開始,2019-04-08 08:30:33,mina09551k,34,鳥取県,境港市,dq25,,,dq25-9,2,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:30:33,mina09551k,34,鳥取県,境港市,dq25,,,dq25-23,1,michiko06841s,9,,,0,10,18.27,
回答開始,2019-04-08 08:30:41,mina09551k,34,鳥取県,境港市,dq25,,,dq25-31,3,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:30:41,mina09551k,34,鳥取県,境港市,dq25,,,dq25-9,2,michiko06841s,5,,,0,10,18.27,
回答開始,2019-04-08 08:30:50,mina09551k,34,鳥取県,境港市,dq25,,,dq25-14,4,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:30:50,mina09551k,34,鳥取県,境港市,dq25,,,dq25-31,3,michiko06841s,5,,,0,10,18.27,
回答開始,2019-04-08 08:31:00,mina09551k,34,鳥取県,境港市,dq25,,,dq25-17,5,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:31:00,mina09551k,34,鳥取県,境港市,dq25,,,dq25-14,4,michiko06841s,6,,,0,10,18.27,
回答開始,2019-04-08 08:31:08,mina09551k,34,鳥取県,境港市,dq25,,,dq25-29,6,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:31:08,mina09551k,34,鳥取県,境港市,dq25,,,dq25-17,5,michiko06841s,4,,,0,10,18.27,
回答開始,2019-04-08 08:31:19,mina09551k,34,鳥取県,境港市,dq25,,,dq25-29,7,michiko06841s,,,,0,10,18.27,
正答,2019-04-08 08:31:19,mina09551k,34,鳥取県,境港市,dq25,,,dq25-29,6,michiko06841s,7,,,0,10,18.27,
回答開始,2019-04-08 08:54:42,alex05342,29,0,0,dq27,,,dq27-24,1,osamu0522s,,,,0,10,1.12,
回答開始,2019-04-08 08:54:48,alex05342,29,0,0,dq27,,,dq27-23,2,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:54:48,alex05342,29,0,0,dq27,,,dq27-24,1,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:54:56,alex05342,29,0,0,dq27,,,dq27-19,3,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:54:56,alex05342,29,0,0,dq27,,,dq27-23,2,osamu0522s,4,,,0,10,1.12,
回答開始,2019-04-08 08:55:04,alex05342,29,0,0,dq27,,,dq27-14,4,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:04,alex05342,29,0,0,dq27,,,dq27-19,3,osamu0522s,5,,,0,10,1.12,
回答開始,2019-04-08 08:55:11,alex05342,29,0,0,dq27,,,dq27-20,5,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:12,alex05342,29,0,0,dq27,,,dq27-14,4,osamu0522s,4,,,0,10,1.12,
回答開始,2019-04-08 08:55:18,alex05342,29,0,0,dq27,,,dq27-6,6,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:19,alex05342,29,0,0,dq27,,,dq27-20,5,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:55:25,alex05342,29,0,0,dq27,,,dq27-44,7,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:25,alex05342,29,0,0,dq27,,,dq27-6,6,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:55:32,alex05342,29,0,0,dq27,,,dq27-52,8,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:32,alex05342,29,0,0,dq27,,,dq27-44,7,osamu0522s,5,,,0,10,1.12,
回答開始,2019-04-08 08:55:39,alex05342,29,0,0,dq27,,,dq27-43,9,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:39,alex05342,29,0,0,dq27,,,dq27-52,8,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:55:45,alex05342,29,0,0,dq27,,,dq27-35,10,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:45,alex05342,29,0,0,dq27,,,dq27-43,9,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:55:51,alex05342,29,0,0,dq27,,,dq27-31,11,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:51,alex05342,29,0,0,dq27,,,dq27-35,10,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:55:57,alex05342,29,0,0,dq27,,,dq27-50,12,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:55:57,alex05342,29,0,0,dq27,,,dq27-31,11,osamu0522s,3,,,0,10,1.12,
回答開始,2019-04-08 08:56:05,alex05342,29,0,0,dq27,,,dq27-62,13,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:56:05,alex05342,29,0,0,dq27,,,dq27-50,12,osamu0522s,4,,,0,10,1.12,
正答,2019-04-08 08:56:11,alex05342,29,0,0,dq27,,,dq27-62,13,osamu0522s,7,,,0,10,1.12,
回答開始,2019-04-08 08:56:11,alex05342,29,0,0,dq27,,,dq27-13,14,osamu0522s,,,,0,10,1.12,
回答開始,2019-04-08 08:56:19,alex05342,29,0,0,dq27,,,dq27-13,15,osamu0522s,,,,0,10,1.12,
正答,2019-04-08 08:56:19,alex05342,29,0,0,dq27,,,dq27-13,14,osamu0522s,5,,,0,10,1.12,
合格,2019-04-08 08:56:43,alex05342,29,0,0,dq27,,,,,mariko06981k,55,16.41,1.64,0,10,19.17,
回答開始,2019-04-08 09:56:20,mei06861,9,鳥取県,境港市,dq25,,,dq25-32,0,michiko06841s,,,,0,10,0,
回答開始,2019-04-08 09:56:46,mei06861,9,鳥取県,境港市,dq25,,,dq25-20,1,michiko06841s,,,,0,10,0,
回答開始,2019-04-08 09:57:11,mei06861,9,鳥取県,境港市,dq25,,,dq25-17,2,michiko06841s,,,,0,10,0,
正答,2019-04-08 09:57:11,mei06861,9,鳥取県,境港市,dq25,,,dq25-20,1,michiko06841s,22,,,0,10,0,
回答開始,2019-04-08 09:57:33,mei06861,9,鳥取県,境港市,dq25,,,dq25-21,3,michiko06841s,,,,0,10,0,
正答,2019-04-08 09:57:33,mei06861,9,鳥取県,境港市,dq25,,,dq25-17,2,michiko06841s,18,,,0,10,0,
回答開始,2019-04-08 09:57:57,mei06861,9,鳥取県,境港市,dq25,,,dq25-26,4,michiko06841s,,,,0,10,0,
正答,2019-04-08 09:57:57,mei06861,9,鳥取県,境港市,dq25,,,dq25-21,3,michiko06841s,20,,,0,10,0,
回答開始,2019-04-08 09:58:21,mei06861,9,鳥取県,境港市,dq25,,,dq25-3,5,michiko06841s,,,,0,10,0,
正答,2019-04-08 09:58:21,mei06861,9,鳥取県,境港市,dq25,,,dq25-26,4,michiko06841s,21,,,0,10,0,
回答開始,2019-04-08 09:58:42,mei06861,9,鳥取県,境港市,dq25,,,dq25-2,6,michiko06841s,,,,0,10,0,
正答,2019-04-08 09:58:43,mei06861,9,鳥取県,境港市,dq25,,,dq25-3,5,michiko06841s,19,,,0,10,0,
回答開始,2019-04-08 09:59:06,mei06861,9,鳥取県,境港市,dq25,,,dq25-2,7,michiko06841s,,,,0,10,0,
正答,2019-04-08 09:59:06,mei06861,9,鳥取県,境港市,dq25,,,dq25-2,6,michiko06841s,21,,,0,10,0,
合格,2019-04-08 09:59:32,mei06861,9,鳥取県,境港市,dq25,,,,,mariko06981k,127,2.2,,0,10,2.2,
回答開始,2019-04-11 10:02:05,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-27,1,michiko06841s,,,,0,10,0,
回答開始,2019-04-11 10:02:06,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-27,1,michiko06841s,,,,0,10,0,
回答開始,2019-04-11 10:02:30,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-33,2,michiko06841s,,,,0,10,0,
正答,2019-04-11 10:02:30,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-27,1,michiko06841s,21,,,0,10,0,
回答開始,2019-04-11 10:02:42,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-12,3,michiko06841s,,,,0,10,0,
正答,2019-04-11 10:02:43,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-33,2,michiko06841s,9,,,0,10,0,
回答開始,2019-04-11 10:02:56,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-13,4,michiko06841s,,,,0,10,0,
正答,2019-04-11 10:02:56,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-12,3,michiko06841s,10,,,0,10,0,
回答開始,2019-04-11 10:03:07,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-4,5,michiko06841s,,,,0,10,0,
正答,2019-04-11 10:03:07,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-13,4,michiko06841s,7,,,0,10,0,
回答開始,2019-04-11 10:03:17,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-31,6,michiko06841s,,,,0,10,0,
正答,2019-04-11 10:03:17,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-4,5,michiko06841s,7,,,0,10,0,
回答開始,2019-04-11 10:03:32,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-31,7,michiko06841s,,,,0,10,0,
正答,2019-04-11 10:03:32,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-31,6,michiko06841s,12,,,0,10,0,
誤答,2019-04-11 10:04:50,syoko07031,16,神奈川県,横浜市旭区,dq25,,,dq25-21,8,keiko03851k,0,,,0,10,0,
不合格1度目,2019-04-11 10:04:50,syoko07031,16,神奈川県,横浜市旭区,dq25,,,,,keiko03851k,79,0,0,0,10,0,
回答開始,2019-04-12 08:19:26,martina03721,10,青森県,黒石市,dq25,,,dq25-28,1,michiko06841s,,,,0,10,0,
回答開始,2019-04-12 08:19:34,martina03721,10,青森県,黒石市,dq25,,,dq25-14,2,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:19:34,martina03721,10,青森県,黒石市,dq25,,,dq25-28,1,michiko06841s,5,,,0,10,0,
回答開始,2019-04-12 08:19:40,martina03721,10,青森県,黒石市,dq25,,,dq25-24,3,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:19:40,martina03721,10,青森県,黒石市,dq25,,,dq25-14,2,michiko06841s,2,,,0,10,0,
回答開始,2019-04-12 08:19:45,martina03721,10,青森県,黒石市,dq25,,,dq25-33,4,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:19:45,martina03721,10,青森県,黒石市,dq25,,,dq25-24,3,michiko06841s,2,,,0,10,0,
回答開始,2019-04-12 08:19:55,martina03721,10,青森県,黒石市,dq25,,,dq25-27,5,michiko06841s,,,,0,10,0,
誤答,2019-04-12 08:19:55,martina03721,10,青森県,黒石市,dq25,,,dq25-33,4,michiko06841s,7,,,0,10,0,
回答開始,2019-04-12 08:20:02,martina03721,10,青森県,黒石市,dq25,,,dq25-27,6,michiko06841s,,,,0,10,0,
誤答,2019-04-12 08:20:02,martina03721,10,青森県,黒石市,dq25,,,dq25-27,5,michiko06841s,3,,,0,10,0,
誤答,2019-04-12 08:20:07,martina03721,10,青森県,黒石市,dq25,,,dq25-31,7,mariko06981k,4,,,0,10,0,
不合格1度目,2019-04-12 08:20:07,martina03721,10,青森県,黒石市,dq25,,,,,mariko06981k,24,0,0,0,10,0,
回答開始,2019-04-12 08:20:21,martina03721,10,青森県,黒石市,dq25,,,dq25-19,1,michiko06841s,,,,0,10,0,
回答開始,2019-04-12 08:20:29,martina03721,10,青森県,黒石市,dq25,,,dq25-15,2,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:20:30,martina03721,10,青森県,黒石市,dq25,,,dq25-19,1,michiko06841s,5,,,0,10,0,
回答開始,2019-04-12 08:20:38,martina03721,10,青森県,黒石市,dq25,,,dq25-9,3,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:20:38,martina03721,10,青森県,黒石市,dq25,,,dq25-15,2,michiko06841s,5,,,0,10,0,
回答開始,2019-04-12 08:20:45,martina03721,10,青森県,黒石市,dq25,,,dq25-6,4,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:20:46,martina03721,10,青森県,黒石市,dq25,,,dq25-9,3,michiko06841s,4,,,0,10,0,
回答開始,2019-04-12 08:20:54,martina03721,10,青森県,黒石市,dq25,,,dq25-3,5,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:20:54,martina03721,10,青森県,黒石市,dq25,,,dq25-6,4,michiko06841s,5,,,0,10,0,
回答開始,2019-04-12 08:21:00,martina03721,10,青森県,黒石市,dq25,,,dq25-2,6,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:21:00,martina03721,10,青森県,黒石市,dq25,,,dq25-3,5,michiko06841s,2,,,0,10,0,
回答開始,2019-04-12 08:21:06,martina03721,10,青森県,黒石市,dq25,,,dq25-2,7,michiko06841s,,,,0,10,0,
正答,2019-04-12 08:21:06,martina03721,10,青森県,黒石市,dq25,,,dq25-2,6,michiko06841s,2,,,0,10,0,
合格,2019-04-12 08:21:42,martina03721,10,青森県,黒石市,dq25,,,,,mariko06981k,27,2.2,0.22,0,10,2.42,
回答開始,2019-04-13 08:32:17,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-39,1,osamu0522s,,,,0,10,0,
回答開始,2019-04-13 08:32:24,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-28,2,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:32:24,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-39,1,osamu0522s,4,,,0,10,0,
回答開始,2019-04-13 08:32:31,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-37,3,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:32:31,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-28,2,osamu0522s,4,,,0,10,0,
回答開始,2019-04-13 08:32:37,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-53,4,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:32:37,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-37,3,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:32:44,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-4,5,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:32:44,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-53,4,osamu0522s,4,,,0,10,0,
回答開始,2019-04-13 08:32:50,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-54,6,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:32:50,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-4,5,osamu0522s,3,,,0,10,0,
回答開始,2019-04-13 08:32:55,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-5,7,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:32:55,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-54,6,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:33:01,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-2,8,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:01,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-5,7,osamu0522s,3,,,0,10,0,
回答開始,2019-04-13 08:33:10,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-21,9,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:11,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-2,8,osamu0522s,5,,,0,10,0,
回答開始,2019-04-13 08:33:16,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-19,10,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:16,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-21,9,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:33:22,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-56,11,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:22,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-19,10,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:33:26,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-40,12,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:26,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-56,11,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:33:31,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-36,13,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:31,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-40,12,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:33:36,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-50,14,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:36,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-36,13,osamu0522s,2,,,0,10,0,
回答開始,2019-04-13 08:33:41,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-50,15,osamu0522s,,,,0,10,0,
正答,2019-04-13 08:33:41,syoko07031,16,神奈川県,横浜市旭区,dq27,,,dq27-50,14,osamu0522s,3,,,0,10,0,
合格,2019-04-13 08:34:06,syoko07031,16,神奈川県,横浜市旭区,dq27,,,,,mariko06981k,43,16.41,1.64,0,10,18.05,
回答開始,2019-05-27 02:34:40,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-14,1,keiko03851k,,,,18.59,10,18.58,
回答開始,2019-05-27 02:34:46,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-21,2,keiko03851k,,,,18.59,10,18.58,
正答,2019-05-27 02:34:46,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-14,1,keiko03851k,4,,,18.59,10,18.58,
回答開始,2019-05-27 02:34:55,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-4,3,keiko03851k,,,,18.59,10,18.58,
正答,2019-05-27 02:34:55,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-21,2,keiko03851k,8,,,18.59,10,18.58,
回答開始,2019-05-27 02:35:08,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-27,4,keiko03851k,,,,18.59,10,18.58,
正答,2019-05-27 02:35:08,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-4,3,keiko03851k,11,,,18.59,10,18.58,
回答開始,2019-05-27 02:35:18,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-32,5,keiko03851k,,,,18.59,10,18.58,
正答,2019-05-27 02:35:18,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-27,4,keiko03851k,8,,,18.59,10,18.58,
回答開始,2019-05-27 02:35:24,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-3,6,keiko03851k,,,,18.59,10,18.58,
正答,2019-05-27 02:35:24,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-32,5,keiko03851k,4,,,18.59,10,18.58,
回答開始,2019-05-27 02:35:30,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-3,7,keiko03851k,,,,18.59,10,18.58,
正答,2019-05-27 02:35:30,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-3,6,keiko03851k,4,,,18.59,10,18.58,
誤答,2019-05-27 02:36:13,syoko07031,16,神奈川県,横浜市旭区,dq29,,,dq29-13,8,masayuki06802,5,,,18.59,10,18.58,
不合格2度目,2019-05-27 02:36:13,syoko07031,16,神奈川県,横浜市旭区,dq29,,,,,masayuki06802,51,0,0,18.59,10,18.58,
回答開始,2019-05-29 02:48:59,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-5,1,keiko03851k,,,,0.36,10,0.36,
回答開始,2019-05-29 02:49:05,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-13,2,keiko03851k,,,,0.36,10,0.36,
正答,2019-05-29 02:49:05,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-5,1,keiko03851k,4,,,0.36,10,0.36,
回答開始,2019-05-29 02:49:10,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-31,3,keiko03851k,,,,0.36,10,0.36,
正答,2019-05-29 02:49:10,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-13,2,keiko03851k,3,,,0.36,10,0.36,
回答開始,2019-05-29 02:49:15,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-21,4,keiko03851k,,,,0.36,10,0.36,
正答,2019-05-29 02:49:15,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-31,3,keiko03851k,4,,,0.36,10,0.36,
回答開始,2019-05-29 02:49:23,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-12,5,keiko03851k,,,,0.36,10,0.36,
正答,2019-05-29 02:49:23,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-21,4,keiko03851k,5,,,0.36,10,0.36,
回答開始,2019-05-29 02:49:28,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-27,6,keiko03851k,,,,0.36,10,0.36,
正答,2019-05-29 02:49:28,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-12,5,keiko03851k,4,,,0.36,10,0.36,
回答開始,2019-05-29 02:49:33,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-27,7,keiko03851k,,,,0.36,10,0.36,
正答,2019-05-29 02:49:33,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-27,6,keiko03851k,3,,,0.36,10,0.36,
誤答,2019-05-29 02:50:40,suzue01811,7,神奈川県,藤沢市,dq29,,,dq29-14,8,mariko06981k,31,,,0.36,10,0.36,
不合格1度目,2019-05-29 02:50:40,suzue01811,7,神奈川県,藤沢市,dq29,,,,,mariko06981k,31,0,0,0.36,10,0.36,
回答開始,2019-06-01 05:04:10,yoko04351,47,青森県,黒石市,dq27,,,dq27-19,1,osamu0522s,,,,16.39,10,16.4,
誤答,2019-06-01 05:04:10,yoko04351,47,青森県,黒石市,dq27,,,dq27-19,2,mariko06981k,0,,,16.39,10,16.4,
不合格1度目,2019-06-01 05:04:10,yoko04351,47,青森県,黒石市,dq27,,,,,mariko06981k,11,0,0,16.39,10,16.4,
回答開始,2019-06-01 05:04:33,yoko04351,47,青森県,黒石市,dq27,,,dq27-15,0,osamu0522s,,,,16.39,10,16.4,
回答開始,2019-06-01 05:04:42,yoko04351,47,青森県,黒石市,dq27,,,dq27-28,1,osamu0522s,,,,16.39,10,16.4,
回答開始,2019-06-01 05:04:51,yoko04351,47,青森県,黒石市,dq27,,,dq27-50,2,osamu0522s,,,,16.39,10,16.4,
正答,2019-06-01 05:04:51,yoko04351,47,青森県,黒石市,dq27,,,dq27-28,1,osamu0522s,7,,,16.39,10,16.4,
回答開始,2019-06-01 05:04:55,yoko04351,47,青森県,黒石市,dq27,,,dq27-64,3,osamu0522s,,,,16.39,10,16.4,
正答,2019-06-01 05:04:55,yoko04351,47,青森県,黒石市,dq27,,,dq27-50,2,osamu0522s,2,,,16.39,10,16.4,
誤答,2019-06-01 05:05:00,yoko04351,47,青森県,黒石市,dq27,,,dq27-50,3,mariko06981k,3,,,16.39,10,16.4,
不合格2度目,2019-06-01 05:05:00,yoko04351,47,青森県,黒石市,dq27,,,,,mariko06981k,13,0,0,16.39,10,16.4,
回答開始,2019-06-01 05:07:02,yoko04351,47,青森県,黒石市,dq25,,,dq25-22,1,michiko06841s,,,,16.39,10,16.4,
回答開始,2019-06-01 05:07:07,yoko04351,47,青森県,黒石市,dq25,,,dq25-19,2,michiko06841s,,,,16.39,10,16.4,
正答,2019-06-01 05:07:07,yoko04351,47,青森県,黒石市,dq25,,,dq25-22,1,michiko06841s,3,,,16.39,10,16.4,
回答開始,2019-06-01 05:07:12,yoko04351,47,青森県,黒石市,dq25,,,dq25-14,3,michiko06841s,,,,16.39,10,16.4,
正答,2019-06-01 05:07:12,yoko04351,47,青森県,黒石市,dq25,,,dq25-19,2,michiko06841s,3,,,16.39,10,16.4,
回答開始,2019-06-01 05:07:16,yoko04351,47,青森県,黒石市,dq25,,,dq25-5,4,michiko06841s,,,,16.39,10,16.4,
正答,2019-06-01 05:07:16,yoko04351,47,青森県,黒石市,dq25,,,dq25-14,3,michiko06841s,2,,,16.39,10,16.4,
回答開始,2019-06-01 05:07:20,yoko04351,47,青森県,黒石市,dq25,,,dq25-16,5,michiko06841s,,,,16.39,10,16.4,
正答,2019-06-01 05:07:20,yoko04351,47,青森県,黒石市,dq25,,,dq25-5,4,michiko06841s,3,,,16.39,10,16.4,
回答開始,2019-06-01 05:07:24,yoko04351,47,青森県,黒石市,dq25,,,dq25-33,6,michiko06841s,,,,16.39,10,16.4,
